strain	designation	accession	clade	passage_long	passage	center_long	center	date	month_abbr	type	reference	h_serology	f_serology
A/Sydney/260/2022_may	A/Sydney/260/2022	N10059461.4		MDCK1				03/05/22	may				
A/Darwin/106/2022_may	A/Darwin/106/2022	N10058454.4		MDCK1				09/05/22	may				
A/Sydney/811/2022_jun	A/Sydney/811/2022	N10059388.4		MDCK1				04/06/22	jun				
A/Sydney/819/2022_jun	A/Sydney/819/2022	N10059389.4		MDCK1				06/06/22	jun				
A/Sydney/821/2022_jun	A/Sydney/821/2022	N10059390.4		MDCK1				06/06/22	jun				
A/Sydney/832/2022_jun	A/Sydney/832/2022	N10059393.4		MDCK1				07/06/22	jun				
A/Darwin/152/2022_may	A/Darwin/152/2022	N10059462.4		MDCK2				06/05/22	may				
A/South_Africa/R04202/2022_apr	A/South Africa/R04202/2022	N10059425.4		MDCK1, MDCK1				01/04/22	apr				
A/South_Africa/R03645/2022_mar	A/South Africa/R03645/2022	N10059426.4		MDCK1, MDCK1				18/03/22	mar				
A/South_Africa/R03033/2022_mar	A/South Africa/R03033/2022	N10059428.4		MDCK1, MDCK1				04/03/22	mar				
A/South_Africa/R02741/2022_mar	A/South Africa/R02741/2022	N10059430.4		MDCK1, MDCK1				03/03/22	mar				
A/South_Africa/R05258/2022_may	A/South Africa/R05258/2022	N10059432.4		MDCK1, MDCK1				03/05/22	may				
A/South_Africa/R05209/2022_may	A/South Africa/R05209/2022	N10059434.4		MDCK1, MDCK1				06/05/22	may				
A/South_Africa/R04933/2022_apr	A/South Africa/R04933/2022	N10059436.4		MDCK1, MDCK1				22/04/22	apr				
A/South_Africa/R05722/2022_may	A/South Africa/R05722/2022	N10059437.4		MDCK1, MDCK1				17/05/22	may				
A/South_Africa/R05744/2022_may	A/South Africa/R05744/2022	N10059439.4		MDCK1, MDCK1				18/05/22	may				
A/Darwin/349/2022_may	A/Darwin/349/2022	N10059463.4		MDCK1				13/05/22	may				
A/Darwin/355/2022_may	A/Darwin/355/2022	N10059464.4		MDCK1				13/05/22	may				
A/Darwin/363/2022_may	A/Darwin/363/2022	N10059465.4		MDCK1				14/05/22	may				
A/Darwin/306/2022_may	A/Darwin/306/2022	N10059466.4		MDCK1				12/05/22	may				
A/Darwin/117/2022_may	A/Darwin/117/2022	N10059467.4		MDCK1				06/05/22	may				
A/Darwin/124/2022_may	A/Darwin/124/2022	N10059468.4		MDCK1				08/05/22	may				
A/Sydney/232/2022_apr	A/Sydney/232/2022	N10059469.4		MDCK1				22/04/22	apr				
A/Sydney/43/2022_apr	A/Sydney/43/2022	N10059470.4		SIAT2				13/04/22	apr				
A/Darwin/33/2022_apr	A/Darwin/33/2022	N10059471.4		SIAT2				20/04/22	apr				
